age,gender,income,education,married,children,city,occupation,purchase_amount,most bought item,labels
0.5869565217391305,1.0,0.6839755651886855,0.6666666666666666,0.0,1.0,0.378099173553719,0.2,0.44135056130068817,0.6956521739130435,0.375 0.25 0.875
0.13043478260869565,0.0,0.5442224347171775,0.3333333333333333,0.0,0.3333333333333333,0.1012396694214876,0.1,0.6299356983472044,0.5652173913043478,0.625 0.0
0.5869565217391305,0.0,0.1417396776753409,0.0,1.0,1.0,0.41632231404958675,0.3,0.5375552472071272,0.13043478260869565,0.25 0.375 0.5 0.875
0.021739130434782608,1.0,0.46987277411530487,1.0,0.0,0.0,0.9907024793388429,0.6,0.5119211410429921,0.6086956521739131,0.5
0.2391304347826087,0.0,0.397629707783203,0.6666666666666666,0.0,0.0,0.5382231404958677,0.1,0.43550961163456425,0.17391304347826086,0.75
0.043478260869565216,0.0,0.5101247895574658,0.6666666666666666,1.0,1.0,0.2128099173553719,0.9,0.4925407099404381,0.5217391304347826,0.875 0.375 0.125
0.1956521739130435,1.0,0.13326171676847795,0.0,1.0,1.0,0.6229338842975206,0.6,0.3130018849230822,1.0,0.0 0.625 0.25
0.043478260869565216,0.0,0.23312496578869343,1.0,0.0,1.0,0.8450413223140496,0.5,0.5985186500722367,0.391304347826087,0.125 0.0
0.717391304347826,1.0,0.31839375762881744,1.0,1.0,0.0,0.3977272727272727,0.8,0.5797619899066424,0.34782608695652173,0.375 0.5 0.75 0.875
0.021739130434782608,1.0,0.45429230747701893,1.0,1.0,0.0,0.856404958677686,0.0,0.5867684035641398,0.2608695652173913,0.625 0.5
0.8478260869565217,0.0,0.6776487879438738,1.0,1.0,0.0,0.23553719008264462,0.4,0.3804181934813176,0.9130434782608695,0.25 0.75
0.1956521739130435,0.0,0.5060737490196271,1.0,1.0,0.6666666666666666,0.38326446280991733,0.9,0.7917061897558241,0.6086956521739131,0.5 0.125
0.9782608695652174,1.0,0.5472306287347461,0.3333333333333333,0.0,0.0,0.5196280991735537,0.9,0.6502316387110895,0.34782608695652173,0.75
0.5652173913043478,0.0,0.22197550220167572,0.6666666666666666,1.0,0.6666666666666666,0.9328512396694215,0.3,0.4510026652503184,0.043478260869565216,0.875 0.625 0.5 0.75
0.717391304347826,0.0,0.46752571551873023,0.0,0.0,0.0,0.48863636363636365,0.8,0.2908348883917585,0.13043478260869565,0.0 0.25 0.5
0.5217391304347826,0.0,0.3235179384724002,0.3333333333333333,0.0,0.6666666666666666,0.4214876033057851,0.3,0.5368868945522071,0.4782608695652174,0.125 0.25 0.875
0.45652173913043476,1.0,0.6108342471275487,0.3333333333333333,0.0,1.0,0.7747933884297521,0.4,0.32714215328988183,0.5217391304347826,0.375 0.625 0.5 0.125
